Nr of weeks;32;;;;;
Nr of cycles planned ;1357;;;;;
Nr of wheels per a/c;2;;;;;
Nr of wheels fleet;6;;;;;
;;;;;;
;;;;Gebaseerd op gemiddelde CSI tot nu toe;;
Shopvisit 1:;Nr of CSI;1602;;Average nr cycles tire on a/c;124,1470588;cycles
;Nr of changes;12;;Expected changes for planned schedule;11;
Shopvisit 2:;Nr of CSI;1381;;;;
;Nr of changes;12;;Expted fleet changes;66;
Shopvisit 3:;Nr of CSI;835;;;;
;Nr of changes;7;;;;
Shopvisit 4:;Nr of CSI;403;;;;
;Nr of changes;3;;;;
;;;;;;
;Totaal changes ;34;;;;
;Totaal CSI;4221;;;;
;;;;;;
;;;;;;
;;;;;;
Gebaseerd op gemiddeld aantal bandenwissels per week;;;;;;
Begindatum ;27-7-2023;;;;;
Einddatum;3-9-2024;;;;;
;404;;;;;
;;;;;;
Aantal weken;57,71428571;;;;;
;;;;;;
Average changes per week;1,697478992;;;;;
Tires needed upcoming season;54;;;;;
